tconst	primaryTitle	originalTitle	isAdult	releaseYear	runtimeMinutes	genres	averageRating	numVotes	nudity	violence	profanity	alcohol	frightening	actors	countriesOfOrigin	productionCompanies	budget	grossWorldwide
tt5154288	Prevenge	Prevenge	0	2016.0	88.0	Comedy,Crime,Drama	5.9	8518	Mild	Severe	Moderate	Mild	Severe	Alice Lowe, Dan Renton Skinner, Jo Hartley, Tom Davis, Leila Hoffman, Kate Dickie, Kayvan Novak, Mike Wozniak, Tom Meeten, Marc Bessant, Gemma Whelan, Della Moon Synnott, Grace Calder, Eileen Davies, Elen Rattenbury, Jacqueline Wright, Sara Dee, David Puckridge	United Kingdom	Gennaker, Western Edge Pictures	92929.6	94950.89
tt0421054	Domino	Domino	0	2005.0	127.0	Action,Biography,Crime	5.9	68978	Moderate	Severe	Severe	Severe	Moderate	Keira Knightley, Mickey Rourke, Edgar Ramírez, Rizz Abbasi, Delroy Lindo, Mo'Nique, Ian Ziering, Brian Austin Green, Joe Nunez, Macy Gray, Shondrella Avery, Dabney Coleman, Peter Jacobson, Kel O'Neill, Lucy Liu, Jacqueline Bisset, Dale Dickey, Lew Temple	United States, United Kingdom, France	New Line Cinema, Scott Free Productions, Davis-Films	45700000.0	21007949.992
tt1838544	Gone	Gone	0	2012.0	94.0	Action,Adventure,Mystery	5.9	46083	Mild	Moderate	Moderate	Moderate	Moderate	Amanda Seyfried, Jennifer Carpenter, Wes Bentley, Daniel Sunjata, Sebastian Stan, Nick Searcy, Socratis Otto, Emily Wickersham, Joel David Moore, Kate Moennig, Michael Paré, Sam Upton, Ted Rooney, Erin Carufel, Amy Argyle, Susan Hess, Jeanine Jackson, Blaine Palmer	United States	Summit Entertainment, Lakeshore Entertainment, Sidney Kimmel Entertainment		18067526.99
tt0120696	Hard Rain	Hard Rain	0	1998.0	97.0	Action,Crime,Drama	5.9	36950		Moderate	Moderate		Moderate	Morgan Freeman, Christian Slater, Randy Quaid, Minnie Driver, Edward Asner, Michael A. Goorjian, Dann Florek, Ricky Harris, Mark Rolston, Peter Murnik, Wayne Duvall, Richard Dysart, Betty White, Ray Baker, Lisa Fuhrman, Jay Patterson, Michael Monks, Mackenzie Bryce	United States, United Kingdom, France, Japan, Germany	British Broadcasting Corporation (BBC), H2L Media Group, Marubeni	63980000.0	18161698.238
tt4669186	Kevin Hart: What Now?	Kevin Hart: What Now?	0	2016.0	96.0	Comedy,Documentary	5.9	9877	Moderate	Mild	Severe	Mild		Kevin Hart, Don Cheadle, Halle Berry, Ed Helms, David Meunier, Joey Wells, Richardson Cisneros-Jones, Magali Amadei, Gabriel Tsai, Peter Mensah, Daniel Bernhardt, Dennis Keiffer, Ben Seaward, Ashli Dowling, Sebastian Clay Varo Kinsey, Jeff Baumann, Will Horton, John Clausell	United States	Hartbeat Productions, Universal Pictures	9048600.0	21562213.302
tt0120577	54	54	0	1998.0	93.0	Drama,Music	5.9	34291	Mild		Moderate	Severe	Mild	Ryan Phillippe, Salma Hayek, Neve Campbell, Mike Myers, Sela Ward, Breckin Meyer, Sherry Stringfield, Ellen Albertini Dow, Cameron Mathison, Noam Jenkins, Jay Goede, Patrick Taylor, Heather Matarazzo, Skipp Sudduth, Aemilia Robinson, Daniel Lapaine, Erika Alexander, Thelma Houston	United States	Dollface, FilmColony, Miramax	11882000.0	15316046.982
tt6728096	The Breaker Upperers	The Breaker Upperers	0	2018.0	90.0	Comedy	5.9	6745	Moderate	Mild	Moderate	Moderate	Mild	Madeleine Sami, Jackie van Beek, James Rolleston, Celia Pacquola, Ana Scotney, Rima Te Wiata, Carl Bland, Brett O'Gorman, Cohen Holloway, Tekeepa Aria, Amanaki Prescott-Faletau, Moe Laga, Hilary Samuela, Darren Taniue, Angella Dravid, Jemaine Clement, Gentiane Lupi, Nic Sampson	New Zealand	Piki Films, Miss Conception Films, Bespoke Post		2529413.654
tt0238112	Captain Corelli's Mandolin	Captain Corelli's Mandolin	0	2001.0	131.0	Drama,Music,Romance	5.9	35674	Moderate	Moderate	Mild	Mild	Mild	Nicolas Cage, Penélope Cruz, John Hurt, Christian Bale, Irene Papas, Gerasimos Skiadaressis, Aspasia Kralli, Mihalis Giannatos, Dimitris Kaberidis, Pietro Sarubbi, Viki Maragaki, Joanna-Daria Adraktas, Ira Tavlaridis, Katerina Didaskalou, Emilios Chilakis, Nikos Karathanos, Antonis Antoniou, Giorgos Kotanidis	United Kingdom, France, United States	Universal Pictures, StudioCanal, Miramax	52098000.0	56771186.03
tt8337158	Rumble	Rumble	0	2021.0	95.0	Animation,Comedy,Family	5.9	8525		Mild			Mild	Geraldine Viswanathan, Will Arnett, Stephen A. Smith, Terry Crews, Jimmy Tatro, Tony Shalhoub, Susan Kelechi Watson, Tony Danza, Bridget Everett, Fred Melamed, Michael Buffer, Ben Schwartz, Brian Baumgartner, Greta Lee, John DiMaggio, Brian Hopkins, Rebecca Quin, Joe Anoa'i	United States	Paramount Animation, Paramount Pictures, Reel FX Creative Studios		
tt0120828	Six Days Seven Nights	Six Days Seven Nights	0	1998.0	102.0	Action,Adventure,Comedy	5.9	82471	Mild	Mild	Moderate	Mild	Mild	Harrison Ford, Anne Heche, David Schwimmer, Jacqueline Obradors, Temuera Morrison, Allison Janney, Douglas Weston, Cliff Curtis, Danny Trejo, Ben Bode, Derek Basco, Amy Sedaris, Long Nguyen, Jake Feagai, John Koyama, Jen Kuo Sung, Michael Chapman, E. Kalani Flores	United States	Touchstone Pictures, Caravan Pictures, Northern Lights Entertainment	63980000.0	150663114.71600002
tt1646980	The Double	The Double	0	2011.0	98.0	Action,Adventure,Crime	5.9	31361		Moderate	Moderate	Mild	Moderate	Richard Gere, Topher Grace, Martin Sheen, Tamer Hassan, Stephen Moyer, Christopher Marquette, Odette Annable, Stana Katic, Yuriy Sardarov, Ivan Fedorov, Ed Kelly, Jeffrey Pierce, Lawrence Gilliard Jr., Mike Kraft, Andy Manning, Randy Flagler, Ella Maltby, Dan Lemieux	United States, United Arab Emirates	Hyde Park Entertainment, Imagenation Abu Dhabi FZ, Brandt/Haas Productions	12339000.0	4323087.47
tt1643222	Hell	Hell	0	2011.0	89.0	Horror,Sci-Fi,Thriller	5.9	12333		Moderate	Moderate		Severe	Lilo Baur, Marco Calamandrei, Lisa Vicari, Lars Eidinger, Hannah Herzsprung, Stipe Erceg, Hans-Peter Recktenwald, Yoann Blanc, Christoph Gaugler, Angela Winkler, Nino Böhlau, Ellen Schweiger, Lutz Pretzsch, Luca Winkler, Tammo Winkler, Anne Hartung, Mika Metz, Stanislav Bogdanov	Germany, Switzerland	Caligari Film- und Fernsehproduktions, Claussen Wöbke Putz Filmproduktion, Paramount Pictures		1242360.898
tt7917178	Caveat	Caveat	0	2020.0	88.0	Horror,Mystery,Thriller	5.9	6551		Moderate	Mild	Mild	Severe	Ben Caplan, Johnny French, Leila Sykes, Inma Pavon, Conor Dwane, Siobhan Burton, Sam White, Charlie	United Kingdom	HyneSight Films	290405.0	71899.81
tt0120576	Dance with Me	Dance with Me	0	1998.0	126.0	Drama,Music,Romance	5.9	6803						Vanessa Williams, Chayanne, Kris Kristofferson, Joan Plowright, Jane Krakowski, Beth Grant, Harry Groener, William Marquez, Scott Paetty, Rick Valenzuela, Chaz Oswill, Liz Curtis, Bill Applebaum, Angelo Pagán, Victor Marcel, Ana Sofia Pomales, Nelson Marquez, Mike Gomez	United States	Mandalay Entertainment, Ballroom Dancer		14553733.508
tt0762107	I Now Pronounce You Chuck & Larry	I Now Pronounce You Chuck & Larry	0	2007.0	115.0	Comedy,Romance	5.9	152779	Moderate	Mild	Moderate	Mild		Adam Sandler, Kevin James, Jessica Biel, Dan Aykroyd, Ving Rhames, Steve Buscemi, Nicholas Turturro, Allen Covert, Rachel Dratch, Richard Chamberlain, Nick Swardson, Blake Clark, Mary Pat Gleason, Matt Winston, Lance Bass, Dave Matthews, Dan Patrick, Rob Corddry	United States	Universal Pictures, Relativity Media, Happy Madison Productions	77690000.0	171040582.938
tt0355295	The Brothers Grimm	The Brothers Grimm	0	2005.0	118.0	Action,Adventure,Comedy	5.9	125409		Moderate	Mild	Mild	Moderate	Matt Damon, Heath Ledger, Monica Bellucci, Petr Ratimec, Barbora Lukesová, Anna Rust, Jeremy Robson, Radim Kalvoda, Martin Hofmann, Josef Pepa Nos, Harry Gilliam, Miroslav Táborský, Roger Ashton-Griffiths, Marika Sarah Procházková, Mackenzie Crook, Richard Ridings, Alena Jakobová, Rudolf Pellar	United States, Czech Republic, United Kingdom	Dimension Films, Metro-Goldwyn-Mayer (MGM), Mosaic	80432000.0	96259068.038
tt0477071	Premonition	Premonition	0	2007.0	96.0	Drama,Fantasy,Mystery	5.9	81093		Mild	Mild		Mild	Sandra Bullock, Julian McMahon, Amber Valletta, Shyann McClure, Courtney Taylor Burness, Nia Long, Marc Macaulay, Kate Nelligan, Irene Ziegler, Phillip DeVona, Ritchie Montgomery, Matt Moore, Peter Stormare, Laurel Whitsett, Kristin Ketterer, Marcus Lyle Brown, Jason Douglas, David A. Shaffer	United States	TriStar Pictures, Metro-Goldwyn-Mayer (MGM), Hyde Park Entertainment	18280000.0	77047740.426
tt0497972	Sex and Death 101	Sex and Death 101	0	2007.0	117.0	Comedy,Drama,Fantasy	5.9	11535	Moderate	Mild	Moderate	Mild		Robert Wisdom, Tanc Sade, Patton Oswalt, Simon Baker, Mindy Cohn, Winona Ryder, Keram Malicki-Sánchez, Julie Bowen, Neil Flynn, Corinne Reilly, Cindy Pickett, Winter Ave Zoli, Dash Mihok, Bryan Okes, Jessica Kiper, Bryan Ross, Greg Travis, Sophie Monk	United States	Avenue Pictures, S and D Productions, Sandbar Pictures	4570000.0	1123607.62
tt11394332	Spree	Spree	0	2020.0	93.0	Comedy,Crime,Horror	5.9	16120	Mild	Severe	Severe	Mild	Moderate	Joe Keery, Sasheer Zamata, David Arquette, Kyle Mooney, Mischa Barton, Frankie Grande, Lala Kent, Joshua Ovalle, Sunny Kim, John DeLuca, Linas Phillips, Jessalyn Gilsig, Sean Avery, Victor Winters-Junco, Sara Lassner, Carlos Higuera, Marques Buford, David Cardenas	United States	Dreamcrew, Forest Hill Entertainment, SuperBloom Films		46263.024000000005
tt18363072	The Royal Hotel	The Royal Hotel	0	2023.0	91.0	Thriller	5.9	6314	Mild	Moderate	Severe	Severe	Moderate	Julia Garner, Jessica Henwick, Herbert Nordrum, Dylan River, Keylan Devine-Ingerson, Bree Bain, Ursula Yovich, Alex Malone, Kate Cheel, Hugo Weaving, James Frecheville, Nic Darrigo, Adam Morgan, Adam MacNeill, Ben Eggleton, Barbara Lowing, Daniel Henshall, Bruce R. Carter	Australia, United Kingdom	See-Saw Films, Fulcrum Media Finance, Scarlett Pictures	9140000.0	969445.982
tt0499554	Reno 911!: Miami	Reno 911!: Miami	0	2007.0	80.0	Comedy,Crime	5.9	27785	Moderate	Moderate	Moderate	Mild	Mild	Thomas Lennon, Robert Ben Garant, Kerri Kenney, Lennie Loftin, Danny DeVito, Niecy Nash, Mary Birdsong, Wendi McLendon-Covey, Carlos Alazraqui, Cedric Yarbrough, Alejandra Gutierrez, Brandon Molale, Kathryn Fiore, David Koechner, Dave Holmes, Patton Oswalt, Toby Huss, Cathy Shim	United States	Twentieth Century Fox, Paramount Pictures, Comedy Central Films	9140000.0	20127433.468
tt0081178	The Monster Club	The Monster Club	0	1981.0	98.0	Comedy,Horror,Musical	5.9	4413		Mild		Mild	Mild	Vincent Price, John Carradine, Anthony Steel, Roger Sloman, Fran Fullenwider, The Viewers, B.A. Robertson, Night, The Pretty Things, Suzanna Willis, Barbara Kellerman, Simon Ward, James Laurenson, Geoffrey Bayldon, Donald Pleasence, Richard Johnson, Britt Ekland, Warren Saire	United Kingdom	Chips Productions, Sword & Sorcery		
tt0420740	A Little Trip to Heaven	A Little Trip to Heaven	0	2005.0	98.0	Drama,Thriller	5.9	5075		Moderate	Moderate	Mild	Moderate	María Fernández Ache, Kharl Anton Leigh, Peter Coyote, Forest Whitaker, Juan Carlos Pardo Pardo, Damon Younger, Jeremy Renner, Joanna Scanlan, Iddo Goldberg, Philip Jackson, Julia Stiles, Alfred Harmsworth, Vladas Bagdonas, Felix Eyjólfsson, Margrét Ólafsdóttir, Birgir Sigurðsson, Signý Kristinsdóttir, Björn Stefánsson	Iceland, United States	Blueeyes Productions, Pink Productions, Palomar Pictures (II)	10968000.0	120693.7
tt1759744	Charlie Says	Charlie Says	0	2018.0	110.0	Biography,Crime,Drama	5.9	5314	Moderate	Severe	Severe	Severe	Severe	Hannah Murray, Matt Smith, Sosie Bacon, Marianne Rendón, Merritt Wever, Suki Waterhouse, Chace Crawford, Annabeth Gish, Kayli Carter, Grace Van Dien, Bridger Zadina, Julia Schlaepfer, Dayle McLeod, Morgan Melton, India Ennenga, Aria Taylor, Cameron Gellman, Christopher Frontiero	United States	Epic Level Entertainment, Roxwell Films		89791.36
tt8361028	Cam	Cam	0	2018.0	94.0	Drama,Horror,Mystery	5.9	35483	Severe	Moderate	Moderate	Mild	Moderate	Madeline Brewer, Patch Darragh, Melora Walters, Devin Druid, Imani Hakim, Michael Dempsey, Flora Diaz, Samantha Robinson, Jessica Parker Kennedy, Quei Tann, Linda Griffin, Clint Jung, Carl Donelson, Brayden Skoglund, Elijah Stevenson, Paris Peterson, Emily Berry, Isa Mazzei	United States	Divide/Conquer, Blumhouse Productions, Gunpowder & Sky		
tt0068505	Dracula A.D. 1972	Dracula A.D. 1972	0	1972.0	96.0	Horror	5.9	7324		Mild	Mild	Moderate	Moderate	Christopher Lee, Peter Cushing, Stephanie Beacham, Christopher Neame, Michael Coles, Marsha A. Hunt, Caroline Munro, Janet Key, William Ellis, Pip Miller, Michael Kitchen, David Andrews, Lally Bowers, Constance Luttrell, Michael Daly, Artro Morris, Jo Richardson, Penny Brahms	United Kingdom	Hammer Films		
tt1712187	The Ages of Love	Manuale d'am3re	0	2011.0	125.0	Comedy,Romance	5.9	4442	Moderate	Mild	Mild	Mild		Robert De Niro, Monica Bellucci, Riccardo Scamarcio, Michele Placido, Valeria Solarino, Daniele Pecci, Carlo Verdone, Donatella Finocchiaro, Laura Chiatti, Ralph Palka, Vincenzo Alfieri, Danilo Mattei, Marina Rocco, Gloria Coco, Carlo Monni, Massimo De Santis, Luis Molteni, Giusi Cataldo	Italy	Filmauro		11418939.266
tt1741243	Pawn Shop Chronicles	Pawn Shop Chronicles	0	2013.0	112.0	Action,Comedy,Crime	5.9	11968	Moderate	Severe	Severe	Moderate	Severe	Paul Walker, Norman Reedus, Elijah Wood, Brendan Fraser, Matt Dillon, Kevin Rankin, Vincent D'Onofrio, Chi McBride, DJ Qualls, Pell James, Lukas Haas, Sam Hennings, Ashlee Simpson, Michael Cudlitz, Thomas Jane, Matt O'Leary, Kaitlin Ferrell, Bernard Hocke	United States	Anchor Bay Films, Mimran Schur Pictures, Suretone Pictures	4570000.0	9213.12
tt0087428	The Hotel New Hampshire	The Hotel New Hampshire	0	1984.0	109.0	Comedy,Drama	5.9	8988	Moderate	Moderate	Moderate	Mild	Moderate	Rob Lowe, Jodie Foster, Paul McCrane, Beau Bridges, Lisa Banes, Jennifer Dundas, Seth Green, Wally Aspell, Joely Richardson, Wallace Shawn, Jobst Oriwol, Linda Clark, Nicholas Podbrey, Norris Domingue, Matthew Modine, Wilford Brimley, Cali Timmins, Dorsey Wright	United Kingdom, Canada, United States	Filmline Productions, Producers Circle, Woodfall Film Productions	6855000.0	4700572.212
tt0119249	Hamilton	Hamilton	0	1998.0	127.0	Action,Adventure,Crime	5.9	4334		Severe				Peter Stormare, Lena Olin, Mark Hamill, Mats Långbacka, Terry Carter, Evgeniy Lazarev, Zakia Tahiri, Christer Söderlund, Per Grytt, Per Flygare, Madeleine Elfstrand, Andrey Smolyakov, Thomas Hedengran, Anders Lidberg, Mikael Ahlberg, Torbjörn Fält, Stanislav Klimuskin, Valeriy Priyomykhov	Sweden, Norway	Moviola Film och Television, TV4, Yellow Cottage		
tt2326612	The Captive	The Captive	0	2014.0	112.0	Crime,Drama,Mystery	5.9	35464		Mild	Moderate	Mild	Moderate	Ryan Reynolds, Scott Speedman, Rosario Dawson, Mireille Enos, Kevin Durand, Alexia Fast, Aidan Shipley, Paige Baril, Bruce Greenwood, William MacDonald, Jason Blicker, Aaron Poole, Brendan Gall, Peyton Kennedy, Mark Gorodnitsky, Kelsey Ruhl, Ian Matthews, Ella Ballentine	Canada	Ego Film Arts, The Film Farm		1915937.768
tt7078658	The Day Shall Come	The Day Shall Come	0	2019.0	87.0	Comedy,Crime	5.9	4139	Moderate	Mild	Moderate	Mild	Mild	Andrel McPherson, Miles Robbins, Marchánt Davis, Anna Kendrick, Kayvan Novak, Malcolm M. Mays, Calah Lane, Curtiss Cook Jr., Danielle Brooks, Denis O'Hare, Adam David Thompson, James Adomian, Michael Braun, Mousa Hussein Kraish, Pej Vahdat, Drew Gehling, Rodney Richardson, Jim Gaffigan	United Kingdom, United States	See-Saw Films, Archer Gray, BFI Film Fund		504558.162
tt7816392	The Bouncer	Lukas	0	2018.0	94.0	Action,Drama,Thriller	5.9	6484	Moderate	Moderate	Moderate	Moderate	Mild	Jean-Claude Van Damme, Sami Bouajila, Sveva Alviti, Sam Louwyck, Kevin Janssens, Kaaris, Alice Verset, Dimitri 'Vegas' Thivaios, Damien Buffard, Maria Bortot, Manou Kersting, Eric Castex, Carlos Schram, Olivier Prémel, Laurent D'Elia, Cecilia Ngo, Florinne Boninsegna, Kevin Van Doorslaer	France, Belgium	Labyrinthe Films, Atchafalaya Films, Umedia	6000000.0	484873.344
tt0065566	The Computer Wore Tennis Shoes	The Computer Wore Tennis Shoes	0	1969.0	91.0	Comedy,Family,Sci-Fi	5.9	5822	Mild	Mild		Mild	Mild	Kurt Russell, Cesar Romero, Joe Flynn, William Schallert, Alan Hewitt, Richard Bakalyan, Debbie Paine, Frank Webb, Michael McGreevey, Jon Provost, Frank Welker, Alexander Clarke, Bing Russell, Pat Harrington Jr., Fabian Dean, Fritz Feld, Peter Renaday, Hillyard Anderson	United States	Walt Disney Productions		
tt5001754	Braven	Braven	0	2018.0	94.0	Action,Thriller	5.9	41608		Severe	Severe	Mild	Moderate	Jason Momoa, Garret Dillahunt, Jill Wagner, Stephen Lang, Sasha Rossof, Sala Baker, Fraser Aitcheson, Teach Grant, Glenn Ennis, Todd Scott, Zahn McClarnon, Brendan Fletcher, James Harvey Ward, Steve O'Connell, Tye Alexander, Kevin Lewis, Steve Cochrane, Patrick Kerton	Canada, United States	Highland Film Group (HFG), Pride of Gypsies, Hassell Free Productions	4570000.0	780847.566
tt4328798	Massu Engira Masilamani	Massu Engira Masilamani	0	2015.0	151.0	Action,Comedy,Drama	5.9	4833		Severe	Mild	Mild	Mild	Suriya, Nayanthara, Parthiban Radhakrishnan, Samuthirakani, Pranitha, Premgi Amaren, Karunas, Sriman, V. Jayaprakash, Motta Rajendran, Manobala, Brahmanandam, Sharath Lohitashwa, Subbu Panchu, Daniel Annie Pope, Riyaz Khan, Charles Vinoth, Badava Gopi	India	Aadnah Arts, Studio Green		224445.496
tt15048614	Blurr	Blurr	0	2022.0	127.0	Drama,Horror,Thriller	5.9	5676						Taapsee Pannu, Gulshan Devaiah, Abhilash Thapliyal, Sorabh Chauhan, Kruttika Desai, S.M. Zaheer, Babita Anant, Abhishek Deswal, Rajat Sukhija	India	Echelon Productions, Outsiders Films, Zee Studios		
